# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.0.0 Build 614 04/24/2018 SJ Lite Edition
# File: C:\Users\Ngoc Pham\OneDrive\Documents\Github\ECE2220\pin.csv
# Generated on: Thu Dec 24 18:09:22 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
alarm_LED,Output,PIN_AD24,4A,B4A_N0,PIN_AD24,2.5 V,,,,,,,,,,,,,
alarm_LED2,Output,PIN_AG25,4A,B4A_N0,PIN_AG25,2.5 V,,,,,,,,,,,,,
alarm_LED3,Output,PIN_AF25,4A,B4A_N0,PIN_AF25,2.5 V,,,,,,,,,,,,,
alarm_LED4,Output,PIN_AE24,4A,B4A_N0,PIN_AE24,2.5 V,,,,,,,,,,,,,
clock_1s,Output,PIN_AA24,5A,B5A_N0,PIN_AA24,2.5 V,,,,,,,,,,,,,
hour0_SSD[6],Output,PIN_AH22,4A,B4A_N0,PIN_AH22,2.5 V,,,,,,,,,,,,,
hour0_SSD[5],Output,PIN_AF23,4A,B4A_N0,PIN_AF23,2.5 V,,,,,,,,,,,,,
hour0_SSD[4],Output,PIN_AG23,4A,B4A_N0,PIN_AG23,2.5 V,,,,,,,,,,,,,
hour0_SSD[3],Output,PIN_AE23,4A,B4A_N0,PIN_AE23,2.5 V,,,,,,,,,,,,,
hour0_SSD[2],Output,PIN_AE22,4A,B4A_N0,PIN_AE22,2.5 V,,,,,,,,,,,,,
hour0_SSD[1],Output,PIN_AG22,4A,B4A_N0,PIN_AG22,2.5 V,,,,,,,,,,,,,
hour0_SSD[0],Output,PIN_AD21,4A,B4A_N0,PIN_AD21,2.5 V,,,,,,,,,,,,,
hour1_SSD[6],Output,PIN_AB21,4A,B4A_N0,PIN_AB21,2.5 V,,,,,,,,,,,,,
hour1_SSD[5],Output,PIN_AF19,4A,B4A_N0,PIN_AF19,2.5 V,,,,,,,,,,,,,
hour1_SSD[4],Output,PIN_AE19,4A,B4A_N0,PIN_AE19,2.5 V,,,,,,,,,,,,,
hour1_SSD[3],Output,PIN_AG20,4A,B4A_N0,PIN_AG20,2.5 V,,,,,,,,,,,,,
hour1_SSD[2],Output,PIN_AF20,4A,B4A_N0,PIN_AF20,2.5 V,,,,,,,,,,,,,
hour1_SSD[1],Output,PIN_AG21,4A,B4A_N0,PIN_AG21,2.5 V,,,,,,,,,,,,,
hour1_SSD[0],Output,PIN_AF21,4A,B4A_N0,PIN_AF21,2.5 V,,,,,,,,,,,,,
hour_button,Input,PIN_AK4,3B,B3B_N0,PIN_AK4,2.5 V,,,,,,,,,,,,,
